name,lat,lng,type,state,district,code
Pitam Pura,28.7032676,77.1322497,train_station,,,
Rohini East,28.7075774,77.1259971,train_station,,,
Dakshineshwar,22.6538476,88.3637563,train_station,,,DAKE
Hooghly Ghat,22.9049023,88.3965631,train_station,,,HYG
Hooghly,22.9052114,88.3760639,train_station,,,HGY
Ujjain Junction,23.1795347,75.781954,train_station,,,UJN
Dewas Junction,22.9780228,76.0519637,train_station,,,DWX
Maksi Junction,23.252069,76.1584869,train_station,,,MKC
Dashnagar,22.5979973,88.3084038,train_station,,,DSNR
Ramrajatala,22.5886606,88.2966655,train_station,,,RMJ
Serampore,22.7545791,88.3383079,train_station,,,SRP
Bally,22.6550647,88.3403033,train_station,,,BLY
Liluah,22.6209027,88.3394035,train_station,,,LLH
Belur,22.6357323,88.3398223,train_station,,,BEQ
Hind Motor,22.6836507,88.3417989,train_station,,,HMZ
Konnagar,22.70126,88.3425107,train_station,,,KOG
Rishra,22.7247059,88.3434353,train_station,,,RIS
Singur,22.814569,88.2290714,train_station,,,SIU
Uluberia,22.4722227,88.0938448,train_station,,,ULB
Fuleswar,22.4774357,88.1156438,train_station,,,FLR
Chengail,22.4863905,88.1389532,train_station,,,CGA
Bauria,22.5025222,88.1632882,train_station,,,BVA
Nalpur,22.529101,88.1860611,train_station,,,NALR
Abada,22.5478712,88.1995212,train_station,,,ABB
Sankrail,22.5623444,88.2104459,train_station,,,SEL
Shrirangapattana,12.4241441,76.6778732,train_station,,,S
Channarayapatna,12.8927148,76.3939638,train_station,,,CNPA
Dharwad,15.4424352,75.0019351,train_station,,,DWR
Bantawal,12.8781673,75.0340919,train_station,,,BNTL
Solapur,17.6645286,75.8934941,train_station,,,SUR
Minchnal,16.9705608,75.8217834,train_station,,,MNL
Basavana Bagewadi Road,16.4802988,75.8282871,train_station,,,BSRX
Bharoli Junction,32.2715378,75.6163853,train_station,,,BHRL
Pathankot Junction,32.2722043,75.6477838,train_station,,,PTK
Bari Brahman,32.6385839,74.9163996,train_station,,,BBMN
Udhampur,32.9262335,75.1536205,train_station,,,MCTM
Khadki,18.5641718,73.8404533,train_station,,,KK
Palampur Himachal,32.081564,76.5154908,train_station,,,PLMX
Reddigudem,16.4418765,80.0505114,train_station,,,REM
Guntur Junction,16.3010828,80.4431321,train_station,,,GNT
Nalgonda,17.0606367,79.2832849,train_station,,,NLDA
Palasdhari,18.884354,73.3208133,train_station,,,PDI
Adoni,15.6176141,77.2746943,train_station,,,AD
Yadgir,16.7446491,77.1297018,train_station,,,YG
Shahabad,17.1219321,76.9433966,train_station,,,SDB
Nanjangud Town,12.1220681,76.6843409,train_station,,,NTW
Kasarwadi,18.6080927,73.8208678,train_station,,,KSWD
Tin Mile Hat,26.4125211,88.2568117,train_station,,,TMH
Nijbari,26.6073148,88.3453394,train_station,,,NJB
