name,lat,lng,type,state,district,operator
Petrol Pump,10.963863,78.0612622,petrol_pump,,,
Indian Oil,13.0231114,80.2063585,petrol_pump,,,
BP,13.0127799,80.2222772,petrol_pump,,,
BP,13.0112743,80.2229232,petrol_pump,,,
Indainoil,13.0259345,80.1753026,petrol_pump,,,
Shell,13.0310451,80.1651264,petrol_pump,,,
HP,13.0465921,80.1197732,petrol_pump,,,
Indian Oil,13.0402991,80.1304112,petrol_pump,,,
Bharat Petroleum,13.0386047,80.1330017,petrol_pump,,,
Hindustan Petroleum,13.0421889,80.1237763,petrol_pump,,,
Indian Oil,13.0322135,77.5698943,petrol_pump,,,Indian Oil
HP,13.0265542,80.2324615,petrol_pump,,,
Indian Oil,13.044528,80.2634018,petrol_pump,,,Indian Oil
HP Petrol Bunk,13.0277462,80.2512876,petrol_pump,,,
Sri Prabhudeva Service Station,12.3927526,76.6669578,petrol_pump,,,IndianOil
Moga Oil Store,30.829337,75.0980695,petrol_pump,,,
Indian Oil,28.2444353,77.0725091,petrol_pump,,,
Petrol Pump,26.7330252,79.1062633,petrol_pump,,,
Petrol Pump,26.8880641,78.9767234,petrol_pump,,,
Petrol Pump,26.8897392,78.8926931,petrol_pump,,,
HP,13.0949946,80.2927844,petrol_pump,,,
Petrol Pump,30.9048987,75.8421926,petrol_pump,,,
Kalsi,30.1741001,74.929439,petrol_pump,,,HP
Petrol Pump,30.2126399,74.9444594,petrol_pump,,,
Petrol Pump,30.5498213,76.4866808,petrol_pump,,,Hindustan Petroleum
Petrol Pump,28.5351953,77.1431664,petrol_pump,,,
Bharat Petroleum,28.5229363,77.0996758,petrol_pump,,,
Indian Oil,28.5248952,77.100967,petrol_pump,,,
HP Auto Care,12.9812136,77.6570884,petrol_pump,,,
Amudha Surabi Petrol Bunk,11.9499033,79.8142629,petrol_pump,,,Indian oil
Petrol Pump,28.463932,77.0726152,petrol_pump,,,
Hindustan Petroleum,11.2969266,75.8456129,petrol_pump,,,
Kovoor Petrol Pump,11.2710933,75.8319857,petrol_pump,,,BP
Petrol Pump,13.6156819,79.3630087,petrol_pump,,,Indian Oil
Bharat Petroleum,28.4518108,77.0752012,petrol_pump,,,Bharat Petroleum Corporation Limited
