name,lat,lng,type,state,district
Shivaji Nagar Garden,19.974912,73.8420392,park,,
Keru Patil Garden,19.9727549,73.849512,park,,
Sant Dnyaneshwar Park,19.9803938,73.8445522,park,,
Pushpak Nagar Udyan,19.9765767,73.8310236,park,,
Shri Datta Garden,19.9757609,73.8296675,park,,
Lonkar Mala Garden,19.9573242,73.8227112,park,,
Garad Garden,18.4043365,76.5569037,park,,
Shyam Nagar Park,18.4050656,76.5642722,park,,
Krishna Kids Park,18.387315,76.5804608,park,,
Abdul Kalam Udyan,18.4083224,76.5955653,park,,
Ramabai Ambedkar Udyan,18.4081122,76.5966522,park,,
Siddheshwar Forest,17.6350297,75.8796572,park,,
Anupam Park,17.6236375,75.8914955,park,,
Navagraha Vana,13.3639921,77.0963782,park,,
Siddheshwar Park,17.6274636,75.9066659,park,,
Mantri Chandak Park,17.625874,75.901284,park,,
Ring Park,16.0741855,78.9086922,park,,
MCH PARK,17.3977615,78.4157502,park,,
Gangitri Park Sanyukta Nagar,17.8791591,75.0151314,park,,
Sankalp Park,17.8790978,75.0160272,park,,
Sunita Park,21.2371187,81.6935522,park,,
Indosyke Nal,12.9448255,77.6645367,park,,
Lichubagan Children's Park,22.6245129,88.4056926,park,,
Park,17.4099912,78.374679,park,,
Park,29.2861563,75.4695521,park,,
Samarpan Paltry Plots,23.0279896,72.5138775,park,,
Picnic Party Plot,23.0855359,72.6489696,park,,
Shree Chatrapati Shivaji Udyan,16.6607708,74.2368461,park,,
Salasar apartment,19.4238657,72.8211732,park,,
Raut Society Park,16.6864316,74.2492214,park,,
Park,11.3310661,77.7303948,park,,
Temblai Garden,16.698016,74.2606773,park,,
KARAN SAHOTA,31.2327411,76.1206001,park,,
Park,30.8768148,75.806299,park,,
Dinesh Park,25.1517814,75.8544766,park,,
Chattra vilas udyaan,25.1870493,75.8536806,park,,
"D Block, Sector 36 Park",28.5712453,77.3474442,park,,
T.V.S Ground,10.9882006,76.9373804,park,,
Provident Green Park,10.9832036,76.9384148,park,,
Pitch Ground,10.9919667,76.9380271,park,,
Environment Education Center,16.0714864,78.9081301,park,,
Jadhav Park,16.6732133,74.2275914,park,,
Hari Park,16.6617347,74.2296102,park,,
"Vayalapra floating park, Vayalapra",12.0464382,75.2561213,park,,
Gautam Budh park,28.579952,77.3033014,park,,
sector 15 part-2 sonipat park,28.9987764,77.040177,park,,
Phase 2 Park,12.9874371,77.6768454,park,,
Phase 2 park 2,12.9876923,77.6769799,park,,
Jawahar Udhyan,21.2437475,81.6465504,park,,
"Mansarovar Park,Sector 15,Noida",28.5811076,77.3031364,park,,
Park,19.2987355,72.8497079,park,,
math,23.2315397,87.8697487,park,,
Ganesh park,19.1639083,73.2531354,park,,
ghandi baug,21.1943947,72.817646,park,,
