name,lat,lng,type,state,district,iata
Vijanagar ALG,27.1934604,97.0029928,airport,,,
Therubali Airstrip,19.3456158,83.4343166,airport,,,
Jashpur Airstrip,22.9327475,84.2300695,airport,,,
Ramanujganj Airstrip,23.746481,83.7072641,airport,,,
Birwa Airstrip,22.0920009,80.5963924,airport,,,
Airport,23.2866752,69.6644031,airport,,,
Jeypore Airport,18.8795334,82.5522786,airport,,,PYB
Central Industrial Security Force Quaters,11.1334991,75.9587492,airport,,,
Kannur International Airport,11.9172472,75.5444176,airport,,,CNN
Kadapa Airport,14.5156135,78.7686363,airport,,,CDP
Kolar Air Field,13.1892519,78.1650537,airport,,,
Cholavaram Airstrip,13.2084663,80.1518784,airport,,,
Tuting Advanced Landing Ground,28.9886693,94.8989592,airport,,,
Rupsi Airport,26.1412834,89.9073351,airport,,,RUP
Sindhudurg Airport,16.0010272,73.5291032,airport,,,SDW
Banswara Airstrip,23.5891799,74.3152249,airport,,,
Airport,26.0961465,81.2774375,airport,,,
INS Shikra,18.9139172,72.8286279,airport,,,
INS Parundu,9.3257359,78.9716562,airport,,,
Airport,11.7441644,76.703574,airport,,,
Darbhanga Air Force Station,26.1949393,85.9176437,airport,,,
Manohar International Airport,15.7367216,73.8624937,airport,,,GOX
Ojhar Air Force Station,20.1141281,73.9222509,airport,,,ISK
Airport,27.5461685,95.2412665,airport,,,
Tezpur Air Force Station,26.7134824,92.7842616,airport,,,TEZ
Kolhapur Airport,16.6657259,74.291473,airport,,,KLH
Baldota Koppal Aerodrome,15.3592407,76.2201405,airport,,,
INS Baaz,7.0131738,93.9228292,airport,,,
Sant Gadge Baba Yavatmal Airport,20.3958981,78.215975,airport,,,
Hayuliang,28.0737447,96.548895,airport,,,
Airport,29.245622,79.5432272,airport,,,
Osmanabad,18.2803389,76.0568502,airport,,,OMN
Shirpur Airstrip,21.3240675,74.9575107,airport,,,
Jalgaon Airport,20.9634839,75.6276291,airport,,,JLG
Canning Helipad,22.3200728,88.6518909,airport,,,
Itanagar Holongi Airport,26.9698153,93.6419255,airport,,,HGI
Shivamogga Airport,13.8578252,75.619404,airport,,,RQY
Dirial Airfield,27.4013952,95.276527,airport,,,
NCC Airstrip,9.5218542,77.0959386,airport,,,
Airport,28.2981215,77.0128342,airport,,,
Maa Ganga Airport,30.5827817,78.323164,airport,,,
Datia Airstrip,25.6563177,78.5081997,airport,,,DPP
Ledo Airfield (Abandoned),27.3022085,95.7372499,airport,,,
Gandhinagar Army Airfield,19.9653358,73.808644,airport,,,
Noida International Airport,28.1709829,77.6082038,airport,,,DXN
Marhamtabad Airport,26.5828984,79.9686406,airport,,,
Benti Airstrip,25.6735658,81.4940065,airport,,,
Kargi Road Airstrip,22.2440026,82.0183692,airport,,,
Airport,27.5514414,95.5708456,airport,,,
Vinnampalli Heliport,13.0373442,79.2036037,airport,,,
Vidyanagar Jindal Airport,15.1719164,76.6367264,airport,,,VDY
Pondicherry Airport,11.9687713,79.8121971,airport,,,PNY
Nashik International Airport,20.1130154,73.8964316,airport,,,ISK
Airport,26.7854798,83.8677433,airport,,,
Rairangpur Airstrip,22.3051178,86.1351246,airport,,,
Mandla Air Strip,22.5008883,80.3289835,airport,,,
Phaltan Airfield,17.9751612,74.4244766,airport,,,
Rajkot International Airport,22.3817054,71.039958,airport,,,HSR
Muirpur Airstrip,24.1251696,83.0375004,airport,,,
Pakyong Airport,27.2327182,88.5884979,airport,,,PYG
Malkangiri Airport,18.3275067,81.9224598,airport,,,
Airport,24.0561778,74.8642284,airport,,,
Sindhu Ghat Heliport,34.0832983,77.6114563,airport,,,
Fukche Advanced Landing Ground,32.9376941,79.2135764,airport,,,
Airport,17.976359,83.5032819,airport,,,
Bhogapuram Heliport,17.9972127,83.4799346,airport,,,
Airport,17.2408223,78.4239228,airport,,,
Airport,17.2407195,78.4373733,airport,,,
