name,lat,lng,type,state,district,operator
State Bank of India,32.2437879,77.189446,atm,,,State Bank of India
Bank of Baroda,32.2441741,77.1894318,atm,,,Bank of Baroda
ICICI Bank,17.4567886,78.4844353,atm,,,ICICI Bank
State Bank,17.4235862,78.4635981,atm,,,State Bank
Bank of Baroda,17.4151831,78.4464856,atm,,,Bank of Baroda
ATM,28.6630585,77.2206204,atm,,,
ATM Machine,30.8739441,75.8437077,atm,,,ATM Machine
State Bank of India,11.8060424,76.6877897,atm,,,State Bank of India
HDFC Bank,28.6345525,77.2176037,atm,,,HDFC Bank
Axis Bank,13.0676022,80.2090043,atm,,,Axis Bank
IDBI,17.4446041,78.3530781,atm,,,IDBI Bank ATM
ICICI Bank,12.9093013,77.614205,atm,,,ICICI Bank
Indian Bank,12.9127285,77.6064015,atm,,,Indian Bank
ICICI Bank,12.9405791,77.5458127,atm,,,ICICI Bank
ATM,13.1050842,77.5809991,atm,,,
ATM,13.104987,77.5834226,atm,,,
ATM,25.1725058,75.8612615,atm,,,
HDFC Bank,32.2395983,76.3236808,atm,,,HDFC Bank
State Bank,18.6872337,79.5342981,atm,,,State Bank
State Bank of India,30.3832778,75.8661046,atm,,,
Punjab Nati0onal Bank,30.2412892,75.8353352,atm,,,
State Bank of India,29.1310124,76.3996849,atm,,,
Punjab National Bank,28.1941563,76.6209292,atm,,,
State Bank ATM,17.2493327,80.1391583,atm,,,State Bank
SBI,27.355426,95.324829,atm,,,SBI
State Bank,17.9108266,80.7959033,atm,,,State Bank
Citibank,12.990976,77.721172,atm,,,Citibank
Punjab National Bank,12.9911041,77.72103,atm,,,Punjab National Bank
Bank of India,12.9659645,77.7140916,atm,,,Bank of India
HDFC Bank,19.1652857,72.85053,atm,,,HDFC Bank
ATM,25.3109948,83.0086329,atm,,,
State Bank,17.4450793,80.1525099,atm,,,State Bank
ATM,9.4997161,76.3390702,atm,,,
State Bank of India,12.9878629,77.7095289,atm,,,State Bank of India
United Bank of India,27.355081,95.3195356,atm,,,United Bank of India
Canara Bank,13.0668449,77.6093403,atm,,,Canara Bank
ING,12.985436,77.7081208,atm,,,ING
ATM of ING,11.0135029,76.9858804,atm,,,ATM of ING
Syndicate Bank,11.0390444,76.9797411,atm,,,Syndicate Bank
ICICI Bank,11.0390299,76.9796977,atm,,,ICICI Bank
South Indian Bank,11.0406613,76.9820258,atm,,,South Indian Bank
IndiasInd Bank,11.032805,76.9791144,atm,,,IndiasInd Bank
State Bank of India,11.0254152,76.9787451,atm,,,State Bank of India
ATM,17.4443518,78.3803001,atm,,,
Federal Bank Ltd.,10.1116838,76.3524122,atm,,,Federal Bank Ltd.
Bank of India,17.4639047,78.4575336,atm,,,Bank of India
State Bank,17.4638945,78.4572868,atm,,,State Bank
Axis Bank,17.4623019,78.4900832,atm,,,Axis Bank
State Bank of India,17.4627691,78.4911169,atm,,,State Bank
Canara Bank,20.456699,85.8854186,atm,,,
Central Bank,19.8069349,85.821671,atm,,,
IDBI,19.7949439,85.8237921,atm,,,
SBI,19.7954426,85.8188693,atm,,,
SBI,19.8129287,85.8306484,atm,,,
State Bank of India,19.8099937,85.8244292,atm,,,State Bank of India
