name,lat,lng,type,state,district
LVB,17.4262584,78.4498378,bank,,
Syndicate Bank,17.4451726,78.4654438,bank,,
State Bank of India,17.4431269,78.4893065,bank,,
Karnataka Bank Ltd,13.3092893,76.9387903,bank,,
State Bank of India,13.3085694,76.9382265,bank,,
State Bank of India,9.713451,76.6858953,bank,,
Vyavasaaya Sahakaara Sangha Niyamita Bank,13.310895,76.9404996,bank,,
Kaveri Kalpataru Grameena Bank,13.3101325,76.9403136,bank,,
State Bank of India,9.7667797,76.6558059,bank,,
Punjab National Bank,32.0416116,76.8413889,bank,,
Andhra Bank,13.0254978,77.5931058,bank,,
Kotak Mahindra Bank,17.46429,78.4836316,bank,,
State Bank of India,30.3744107,75.5438086,bank,,
HDFC Bank,12.9356089,77.6151797,bank,,
State Bank of India,17.4637168,78.49157,bank,,
ICICI Bank,17.4637987,78.4916451,bank,,
Bank of India,17.4190122,78.4435048,bank,,
Canara Bank,17.4188996,78.4434941,bank,,
Punjab Nati0onal Bank,31.214476,75.4230846,bank,,
Punjab National Bank,30.865136,75.8658328,bank,,
Punjab National Bank,30.9090045,75.8606279,bank,,
HDFC BANK,30.8740142,75.8423884,bank,,
Oriental Bank of Commerce,30.8740072,75.8423079,bank,,
State Bank of India,30.3746954,75.5374153,bank,,
JK Bank,33.4667787,76.8786567,bank,,
State Bank of India,17.413049,78.4599395,bank,,
Punjab & Sind Bank,30.7277042,75.9453931,bank,,
HDFC Bank,30.8657755,75.840359,bank,,
Bank of India,30.8681738,75.9193836,bank,,
Karur Vysya Bank,13.0767558,80.2064716,bank,,
Bank,12.9394898,77.5451718,bank,,
State Bank of India,27.1634774,78.0358587,bank,,
Indian Overseas Bank,13.0750719,80.2717231,bank,,
Bank,32.1877112,76.2098915,bank,,
Bank,27.355474,95.3233019,bank,,
Bank,27.355312,95.324636,bank,,
State Bank of India - Hospet,15.2797147,76.3884878,bank,,
Punjab National Bank,12.9910736,77.7210086,bank,,
HDFC Bank,12.9951883,77.6985535,bank,,
Canara Bank,12.9953337,77.6981627,bank,,
State Bank of India,12.9956238,77.6992864,bank,,
HDFC Bank,19.1653161,72.8505568,bank,,
State Bank of India,12.981538,77.680174,bank,,
Bank of Maharashtra,19.1667688,73.2367071,bank,,
United Bank of India,27.355,95.3194444,bank,,
