name,lat,lng,type,state,district
Kuchavalal UPS,17.236365,80.1458994,school,,
Rajendra Nagar UPS,17.237885,80.1380379,school,,
Nasr School,17.4113728,78.4588295,school,,
Geetam. Pub School,17.2410899,80.1497816,school,,
Akshaya,12.9787977,80.2224844,school,,
Symbiosis Nursery School,18.533081,73.8377434,school,,
Christ King School,12.9214424,80.1869452,school,,
Government(Bada school),28.7946905,77.0372885,school,,
Wesley High School,17.4404012,78.4865035,school,,
BIE Spoken English,17.2537322,80.1426601,school,,
Edanadu SVNSS High School,9.735721,76.6497738,school,,
M.P.Primary School,17.139698,80.0612717,school,,
sunny model school,31.2152648,75.4315546,school,,
BIT Computers,17.2489778,80.147447,school,,
Aptech,17.2490744,80.1473652,school,,
Prism Multimedia,17.249246,80.147704,school,,
Third Eye,17.2495798,80.1476864,school,,
"Government Primary School, Tur",32.4585925,76.2987328,school,,
"Government Primary School, Kundi",32.4621367,76.2871686,school,,
Himalayan Public School,32.3365412,76.5434688,school,,
Adarsh Adhunik School,32.3354768,76.5459635,school,,
"Government Primary School, Kalprai",32.7081136,76.3153341,school,,
"Government Senior Secondary School, Teesa",32.8352151,76.1484187,school,,
"Government Upper Primary School, Thiruvannur",11.2267924,75.7998049,school,,
Shaheed Kartar Singh Sarabha International Public School,30.7474436,75.6927976,school,,
St.Joseph's Junior School,11.2532567,75.7768545,school,,
Primary School Dugri,30.8041751,75.9607658,school,,
Kalgidhar Academi Dugri,30.8021392,75.95211,school,,
Montessori High,17.2579761,80.1385987,school,,
Ricob Bazar Govt. High School,17.2525475,80.1420511,school,,
"ZPHS, Timminenipalem",17.071916,80.1692492,school,,
Babymoon,17.2176523,80.1545878,school,,
UPS Tirumulapuram,17.0943014,80.1970854,school,,
sacred heart convent l.p. school,10.6434551,76.0171088,school,,
Lumbini,17.2338845,80.1499703,school,,
Govt Primary,17.2347161,80.1527203,school,,
Harkrishan Public School,30.8746619,75.8701039,school,,
Khazipura High,17.2435678,80.1413282,school,,
Valavoor School,9.747894,76.6436179,school,,
New Horizon School,30.3815114,75.5490301,school,,
Kanya High School,30.3763034,75.5527856,school,,
Mani Higher Secondary School,11.0138918,76.9820619,school,,
Indira nagar high school,17.2482264,80.168052,school,,
Last School,12.011538,79.8162439,school,,
Edanad Govt LP School,9.7357386,76.6496621,school,,
School,31.2094363,75.4340958,school,,
"Government Senior Secondary School, Udaipur",32.72383,76.6648605,school,,
"Government Senior Secondary School, Triloknath",32.6893344,76.6899879,school,,
"Government Middle School, Kirting",32.6133632,76.9127269,school,,
"Government Senior Secondary School, Andretta",32.0382326,76.5710665,school,,
"Neugal Public School, Andretta",32.0398652,76.5697506,school,,
"Government Senior Secondary School, Rajpur",32.081026,76.5323726,school,,
"Government High School, Ashapuri",31.9805519,76.5811538,school,,
"Government Primary School, Bhuana",32.0055792,76.5986675,school,,
"Government Senior Secondary School, Makol",32.0075963,76.5972221,school,,
Don Bosco Primary School,19.2312257,72.841711,school,,
Don Bosco High School,19.2303902,72.8418808,school,,
Old Dps,17.2518553,80.1558571,school,,
Saint Joseph,31.4976065,75.947926,school,,
St. Joseph H.S Kudackachira,9.7586683,76.6349905,school,,
Sahithi Dspace,17.2589333,80.1507569,school,,
jublipura primary,17.2561042,80.1348457,school,,
Crescent,17.2628718,80.1457385,school,,
Sarada,17.2272894,80.1491662,school,,
Sitarampuram UPS,17.2048116,80.1537119,school,,
"Government Higher Primary School, Old AK Colony",13.3055649,76.9427623,school,,
Sharada High,17.4412917,78.3914009,school,,
Priya English School,13.3090518,76.9366391,school,,
"Government Higher Primary School, G. Harivesandra",13.3228931,76.920494,school,,
Sarvhitkari Sen. Sr. School,30.3719254,75.5391736,school,,
ATBT,17.2623774,80.161097,school,,
Girls HS Muthalakkodam,9.9101818,76.7364549,school,,
Hyderabad Public School,17.400104,78.5362094,school,,
"Government Primary School, Chelra di Malhan",32.0775569,76.8054556,school,,
Aug 2025 Update it has merged with Ravi during Monsoon,32.322371,76.8128725,school,,
Amarkanta Public School,32.0720039,76.5888048,school,,
Dhauladhar Public School,32.1333068,76.537785,school,,
Naasih Montessori Public School,13.0016772,77.6138117,school,,
Key elementary school Vashisht,32.2675284,77.1873447,school,,
GUPS Hidayathnagar,12.541166,75.019995,school,,
Baba Ala Singh School,30.3632046,75.5311128,school,,
School,28.5962679,77.177701,school,,
Kendriya Vidyalaya Khammam,17.2760899,80.1260391,school,,
Springfields School,17.4135412,78.4445973,school,,
MRR School,17.4800428,78.5795251,school,,
Delhi Public School,32.2467472,77.1767911,school,,
"Sant Isher Singh Public School,Nursery-12th (PSEB)",30.8492086,75.8688962,school,,
Dashmesh Public Sr. Sec. School(Nursery-12th),30.8522345,75.8702901,school,,
Aanganwadi centre no.2,30.8633964,75.8553248,school,,
Govt. Primary School,30.8728925,75.8450082,school,,
Teja Singh Primary School,30.8648408,75.8658473,school,,
Government elementary school,30.8655211,75.8647568,school,,
Junior World Preparatory School,30.8660986,75.8636064,school,,
Government Primary School no.9,30.865544,75.8535415,school,,
"Khalsa National Sr. Sec. School,Shahpur Road",30.9092616,75.8548882,school,,
School,30.8719602,75.8406633,school,,
Shri Harkrishan sahib public Senior Secondary,30.8700363,75.8765454,school,,
Nightingale Sen. Sec. School,30.8652015,75.8700068,school,,
ATM Jain Public School,30.8689764,75.8750105,school,,
Honey Training School,30.8623002,75.8666399,school,,
Sant Teja Singh Sutaantar Memorial school,30.8616185,75.8647998,school,,
G N D Public School,30.8615977,75.8838035,school,,
S D M High School,30.8615969,75.8813992,school,,
"Krishna Convent School, Daba , Lohara Road",30.8605363,75.8854234,school,,
Sh. S. R. M. Public Sr. Sec. School,30.8615939,75.8848832,school,,
International Public School,30.8684002,75.8624566,school,,
Jyoti Play Way School & Tution Center,30.8667319,75.8633001,school,,
"Muskan Special School(for Mentally, Phusically, Handicapped & Autistic children)",30.8662852,75.8632088,school,,
New Central Public School,30.8674941,75.8637071,school,,
Bhagat Singh Public School Road,30.8500833,75.8890427,school,,
Star Public School Lohara,30.8509023,75.8775518,school,,
GOVT.Primary School Lohara,30.8484183,75.8881253,school,,
SDM School,30.8646296,75.8804762,school,,
Teja Singh Sutantar Memorial Girls School,30.8656766,75.8659808,school,,
